Latitude,Longitude,Beat,District,Ward,Community Area,Hour,DayOfWeek,Month,Year,Location_Description_Clean,TimeOfDay,Season,Arrest_Target
41.78727005942368,-87.77286401587516,1306,3,7,49,11,4,11,2018,SIDEWALK,Evening,Summer,0
42.07535715320496,-87.73695395328124,963,8,22,58,18,6,12,2023,APARTMENT,Morning,Winter,0
41.96599697090571,-87.56545367305903,647,14,21,7,21,1,4,2023,SIDEWALK,Afternoon,Summer,0
41.89932924209852,-87.79699802627304,1160,6,6,41,21,1,2,2018,STREET,Evening,Spring,1
41.67800932022122,-87.55865764183453,1107,15,14,15,22,3,7,2021,SIDEWALK,Morning,Summer,0
41.677997260168105,-87.9103395060605,1137,14,16,76,9,1,2,2020,SIDEWALK,Morning,Fall,0
41.6290418060841,-87.60044070325611,734,7,3,53,11,1,7,2020,PARKING LOT,Afternoon,Summer,1
42.033088072887466,-87.56860356512537,694,10,9,23,18,6,8,2019,RESIDENCE,Night,Winter,0
41.9005575058716,-87.8681820562232,1282,15,47,73,15,4,12,2021,APARTMENT,Evening,Spring,0
41.954036288898024,-87.75634406043251,1617,10,21,65,16,4,11,2023,RESIDENCE,Morning,Fall,0
41.6102922471479,-87.87552510140135,1452,22,30,60,12,0,8,2018,STREET,Afternoon,Fall,0
42.084954926081,-87.6320281419526,713,17,30,10,6,0,3,2018,STREET,Evening,Winter,0
42.01622132040021,-87.70909350437226,1972,19,42,58,2,1,9,2018,SIDEWALK,Afternoon,Summer,1
41.70616955533914,-87.66410449398126,1206,17,42,47,4,5,10,2020,RESIDENCE,Evening,Spring,0
41.690912483603555,-87.86158086486971,1679,12,32,15,3,2,10,2023,APARTMENT,Night,Winter,0
41.69170225492672,-87.85471436207641,1703,15,23,9,14,0,10,2018,APARTMENT,Night,Fall,0
41.75212112147977,-87.93132620352054,1683,12,3,13,16,1,6,2018,SIDEWALK,Evening,Fall,0
41.86237821581612,-87.80506960916192,1692,9,1,23,11,5,4,2020,APARTMENT,Evening,Fall,1
41.81597250932106,-87.69811490239985,1710,5,3,33,22,5,8,2018,PARKING LOT,Afternoon,Winter,0
41.74561457009902,-87.5639292887012,1145,4,37,9,13,4,4,2019,RESIDENCE,Evening,Fall,1
41.90592644736119,-87.6498826486436,1255,12,7,3,3,5,4,2023,STREET,Morning,Spring,1
41.66974693032602,-87.75407165447011,564,16,3,73,16,3,11,2022,APARTMENT,Evening,Fall,1
41.74607232426761,-87.52109594852264,1579,9,36,25,10,4,8,2019,APARTMENT,Evening,Winter,0
41.783180921646846,-87.62633965974088,1425,3,49,71,5,4,4,2021,APARTMENT,Night,Winter,0
41.82803499210852,-87.53142565871185,1054,21,3,36,3,3,1,2019,SIDEWALK,Night,Fall,0
41.992587980696506,-87.71258541202752,1029,3,4,20,12,6,6,2019,STREET,Afternoon,Winter,0
41.69983689107918,-87.83349307634309,1390,18,31,54,19,6,12,2020,RESIDENCE,Evening,Summer,0
41.857117219206806,-87.92622799113587,898,17,2,19,14,4,8,2021,APARTMENT,Morning,Winter,0
41.89620728443102,-87.62326181683227,494,10,14,60,17,0,3,2023,PARKING LOT,Morning,Summer,1
41.62322520636,-87.89541365089751,1243,2,37,37,16,4,2,2023,SIDEWALK,Evening,Winter,0
41.90377242595072,-87.81375119227762,345,24,31,3,18,3,6,2019,RESIDENCE,Afternoon,Winter,0
41.685262061843645,-87.71038809145224,667,11,2,19,9,1,1,2022,APARTMENT,Morning,Winter,0
41.632525796492644,-87.69601253549911,137,24,31,53,4,1,11,2019,RESIDENCE,Afternoon,Fall,0
42.07444276862667,-87.6797375613558,344,3,47,46,11,1,5,2018,SIDEWALK,Evening,Winter,0
42.08281601653728,-87.87518510134264,120,23,43,56,14,6,6,2020,PARKING LOT,Afternoon,Spring,0
42.00419867405823,-87.77911816783026,1233,23,22,70,22,3,8,2018,APARTMENT,Evening,Fall,0
41.75230688458669,-87.67226259779737,1729,2,10,31,3,3,7,2021,PARKING LOT,Night,Summer,0
41.648836057003194,-87.51358151091479,493,9,30,53,7,0,6,2021,SIDEWALK,Evening,Spring,0
41.94211651325608,-87.62256598803513,1533,19,33,34,19,3,2,2020,PARKING LOT,Afternoon,Spring,0
41.8200762468698,-87.53482830930771,1086,2,19,31,21,5,12,2019,SIDEWALK,Morning,Spring,0
41.66101911742239,-87.60700457375862,1771,19,46,60,16,1,8,2021,PARKING LOT,Evening,Spring,0
41.847588455055636,-87.68372736399841,1866,2,25,11,5,3,8,2022,RESIDENCE,Evening,Winter,0
41.61719426055761,-87.86358948388865,107,15,46,6,15,2,11,2020,RESIDENCE,Evening,Winter,0
42.05466020103939,-87.64999145664837,1567,24,1,27,4,6,5,2018,SIDEWALK,Night,Spring,0
